"gene","coef"
"PPFIA4",0.248273225815296
"NKAIN4",0.212129758104367
"RYR2",0.105458795985838
"XCL1",0.0571517314783243
"LRRN4",0.0387579579771231
"C8G",0.0354002154457385
"NAT1",-0.0180171290802708
"PRG4",0.0163125430062084
"EXOC3L4",0.0134317168170854
"TSPEAR",0.00598589581093181
"DIO2",-0.000198346516343978
"WNT5A",-0.000147770662581227
