"gene","p"
"EGR3",0.000867530489709932
"MCC",0.000885661553341938
"GLIS3",0.000892837962647212
"DEPDC5",0.000894576453032521
"BICD1",0.000907467216265846
"MRPS34",0.000911393207896705
"S1PR3",0.000911982886920841
"RHOD",0.000941170444580002
"LIPG",0.000944884505308621
"KHK",0.000952974029093459
"CHPT1",0.000958641697428955
"KIAA1671",0.00098257799977296
"POP5",0.000985357339036681
"MIR6824 /// SLC26A6",0.00100779017328036
"SERPINE1",0.00100900521706918
"MRPS24 /// URGCP-MRPS24",0.00101229893652798
"MIR100HG",0.00101419904119075
"AX747507",0.00102769351326487
"MTCH2",0.00103914559612768
"CYP1B1",0.00104615774969389
"ZDHHC15",0.00104618593552665
"NDUFB10",0.00105611431079274
"NDUFB7",0.00105634752406076
"KLK6",0.00105845582148917
"CDX2",0.00106497217955728
"SMPDL3B",0.00106832469844702
"LCA5",0.0010831420072003
"DAPK1-IT1 /// DAPK1-IT1",0.00108585889912341
"LEMD1",0.00109458622949973
"GALM",0.00109775446183683
"ZNF25",0.0011202687835323
"SLC37A4",0.00112305504199773
"SLC22A5",0.00113818144362598
"RPUSD3",0.00115424738562115
"ATOH1",0.00116081761735624
"FARP2",0.0011653767367844
"GIPC2",0.00116822655346094
"CDSN",0.00117407278437202
"SDCCAG8",0.00117966493959505
"TSFM",0.00118470204054072
"RAB3D",0.00120021465700146
"ZNF552",0.00120486720945669
"BCL6",0.00120693611651221
"CLMN",0.00120910818884965
"TMEM97",0.00120998250385454
"ITLN1",0.00124164050380476
"MAGI2-AS3",0.00124207295498047
"PRR13",0.0012478270104545
"BZW2",0.00125187807006805
"ENTHD1",0.0012665300598631
"UQCRFS1",0.00126757799854194
"FOXA2",0.00127129812504643
"TNFRSF11A",0.00127807671513543
"LINC00992 /// LINC00992",0.00129131440059183
"SLC27A2",0.00130706610792201
"TCR-alpha /// TRAV13-1 /// TRAV13-1",0.00131044575091209
"AURKAIP1",0.00133172568254731
"MRPL4",0.001364621837399
"STON1",0.00137779920878916
"SLCO1C1",0.00138039381872104
"NAGPA",0.00139112266093458
"STARD10",0.00140935891980846
"CENPM",0.00141487077827174
