"ensembl_clean","logFC","AveExpr","t","P.Value","adj.P.Val","B","ensembl_id","symbol"
"ENSG00000000003",0.103999685424256,7.09481966005964,0.414601214270186,0.680475622008177,0.776701696751023,-7.0228812642908,"ENSG00000000003.15","TSPAN6"
"ENSG00000000005",-0.19598451746298,-0.667886719023828,-0.325978483597485,0.746006900431933,0.825475706784584,-6.42486015490773,"ENSG00000000005.6","TNMD"
"ENSG00000000419",0.0893188249466459,5.60638021452667,0.387195595663527,0.700503248556309,0.791269614057441,-7.03867657893016,"ENSG00000000419.13","DPM1"
"ENSG00000000457",-0.00202360709252678,4.02771347122705,-0.0129042360591015,0.989763319500844,0.993456343028953,-7.00355880366992,"ENSG00000000457.14","SCYL3"
"ENSG00000000460",0.328638061441211,3.2379440293725,1.48559672809499,0.144612478555754,0.256836334045344,-5.81262828872946,"ENSG00000000460.17","C1orf112"
"ENSG00000000938",0.336822261458304,2.6724389051043,1.15672802349782,0.253709427458686,0.385718597608173,-6.15853174705079,"ENSG00000000938.13","FGR"
"ENSG00000000971",1.09227158058881,4.5093745700736,3.25204771559257,0.00221971605680795,0.0136553978693996,-2.24519772297138,"ENSG00000000971.16","CFH"
"ENSG00000001036",-0.198046448447893,5.8821512921768,-1.1341183501708,0.262969099453559,0.395678111255258,-6.47584683776563,"ENSG00000001036.14","FUCA2"
"ENSG00000001084",0.195701624134043,5.5196542214406,1.34230519592509,0.186475251027621,0.308343912595727,-6.21518723661203,"ENSG00000001084.13","GCLC"
"ENSG00000001167",0.35329381214318,5.02659707858155,2.43529814228943,0.0190592555789001,0.0606206978289441,-4.26775382122401,"ENSG00000001167.14","NFYA"
"ENSG00000001460",-0.7843077265826,3.49314123953156,-3.99062673351387,0.000249640806887517,0.00274353007838378,-0.0656913563315955,"ENSG00000001460.18","STPG1"
"ENSG00000001461",-0.523301431237996,5.48848445892987,-3.41393735051788,0.00139826743572092,0.00991976812946016,-1.86713729883101,"ENSG00000001461.17","NIPAL3"
"ENSG00000001497",0.160799090065786,5.74014198791066,0.811537110840235,0.421484921763266,0.55536075858358,-6.78556471158956,"ENSG00000001497.18","LAS1L"
"ENSG00000001561",0.0811036157860986,5.1008832616283,0.325721311546084,0.746200143680275,0.825574178488544,-7.04124698424755,"ENSG00000001561.7","ENPP4"
"ENSG00000001617",0.0725107936497351,4.835202260523,0.237211516455193,0.813608638169591,0.874300408876569,-7.05030311670365,"ENSG00000001617.12","SEMA3F"
"ENSG00000001626",-0.0998969161893235,7.27707905292906,-0.230196775102064,0.819020221327346,0.877998275430255,-7.07799174038528,"ENSG00000001626.16","CFTR"
"ENSG00000001629",0.309663857193282,5.74446409906846,2.23404240578021,0.0306816532451109,0.0846411275536295,-4.7174127939784,"ENSG00000001629.10","ANKIB1"
