"logFC","AveExpr","t","P.Value","adj.P.Val","B","ensembl_id"
3.14183552221353,6.95746291634637,14.3705571269453,4.16416645788024e-18,8.16426475732001e-14,31.0672726580847,"ENSG00000204262.14"
2.93685743236516,7.34469964838323,13.6103218460957,2.89821201960969e-17,1.89407816188225e-13,29.1645871893059,"ENSG00000130635.16"
-3.47840928078877,0.433879901730559,-13.8302440273056,1.64183485681037e-17,1.60949071013121e-13,29.0584903318406,"ENSG00000089012.14"
-3.90431664240844,2.54949295849157,-13.2563321606836,7.32321957682974e-17,3.5894760755831e-13,28.0314490788148,"ENSG00000153563.16"
2.73443010351578,8.2858714904401,13.018927086141,1.37534845578778e-16,5.39301636483504e-13,27.6292993135175,"ENSG00000163359.16"
3.14223616562555,9.93578460285458,12.8464226213732,2.18370985913897e-16,7.13563591637976e-13,27.1516177543149,"ENSG00000164692.18"
3.1437209166684,0.738860710435724,12.6714240933172,3.50368512448089e-16,9.81332150722462e-13,26.3213958043963,"ENSG00000149380.12"
3.27480856673305,6.86664243316556,12.4757926086794,5.97089908024196e-16,1.30072719296915e-12,26.1896363530492,"ENSG00000137573.14"
4.07660439912983,4.42217084161695,12.4849467849077,5.82317390297065e-16,1.30072719296915e-12,26.1804708954152,"ENSG00000144810.16"
3.38855761230799,7.11998817671367,12.2929067996732,9.87118952130019e-16,1.92516955799012e-12,25.6939844603359,"ENSG00000111799.21"
-3.5098293405416,2.0091277844151,-12.2603137756939,1.08012165346788e-15,1.92516955799012e-12,25.4131528090312,"ENSG00000105374.10"
3.78103656790361,4.09202151361121,11.968011831214,2.43662866578384e-15,3.67481089395061e-12,24.7782601449073,"ENSG00000164932.13"
-4.02317849358619,-1.0486404764318,-12.1538204729879,1.45093019231918e-15,2.37057811255082e-12,24.6068632787583,"ENSG00000235576.1"
2.96939863732416,10.1616579892065,11.7002450691156,5.18351347278698e-15,7.25914036767582e-12,24.0500976848938,"ENSG00000168542.16"
2.5974730536795,9.29402477979625,11.6343937990824,6.24974588502489e-15,8.1688345214532e-12,23.8727052932594,"ENSG00000113140.11"
3.11034517823757,6.23803924352421,11.5905357411726,7.08114042784514e-15,8.46438406892734e-12,23.7501414352159,"ENSG00000169604.20"
-2.74019513093952,2.87108526372475,-11.5579453097279,7.77103505257024e-15,8.46438406892734e-12,23.5999120118927,"ENSG00000116824.5"
3.3000388587924,6.08542457423921,11.4733655382071,9.89786097356282e-15,1.02135506446143e-11,23.4200052810358,"ENSG00000038427.16"
4.62315844518226,0.363174443354673,11.5587766999652,7.75261350665209e-15,8.46438406892734e-12,23.3440072065822,"ENSG00000203805.11"
-2.9465361253346,3.0869505773907,-11.4323951412967,1.11321247867321e-14,1.03931637413653e-11,23.2606873140125,"ENSG00000198851.10"
7.05510121910887,2.56487950077834,11.4356095874666,1.10298708602635e-14,1.03931637413653e-11,23.1801763957124,"ENSG00000123500.10"
4.54017436654649,4.78200583483424,11.3864649421047,1.27029735974846e-14,1.13206591069219e-11,23.1688425633447,"ENSG00000186340.16"
4.00900127912856,3.20174728138668,11.2874761698014,1.68989899881968e-14,1.44052868568951e-11,22.8568586354163,"ENSG00000152377.14"
5.77801081178428,3.57774926622677,11.2405345307997,1.93568460022811e-14,1.58129301133635e-11,22.7126589419116,"ENSG00000060718.22"
-3.42575870687368,4.00734924453362,-11.2156566249278,2.08036512963138e-14,1.63150554926211e-11,22.6775406636299,"ENSG00000271503.6"
-2.8530427964185,3.08889803909413,-11.0799183115857,3.08715833373073e-14,2.32791189128605e-11,22.2704531777932,"ENSG00000211772.11"
-2.71473159589605,0.872724521883966,-11.0669887721323,3.20583602288705e-14,2.32791189128605e-11,22.0657424549899,"ENSG00000101082.14"
3.74396193641339,4.16314680537422,10.9719049189696,4.23356899211714e-14,2.86218460894651e-11,21.9865504848918,"ENSG00000164694.17"
-2.33548240007918,3.85174481284485,-10.85078167762,6.04340106809057e-14,3.94956404469945e-11,21.6377157131792,"ENSG00000277734.8"
5.12426773436853,-2.32066922793813,10.9814425815354,4.1168965634619e-14,2.86218460894651e-11,21.4560600964094,"ENSG00000230838.1"
4.13626314962067,2.70912618480655,10.7924540849594,7.17814382375722e-14,4.53982863898658e-11,21.4329515223344,"ENSG00000078098.14"
-2.06914976832376,6.28514954756732,-10.7088621740277,9.19275051491632e-14,5.63228333110779e-11,21.2108530634795,"ENSG00000125347.14"
3.21962032345999,4.17483499356874,10.5757410252119,1.36566375276985e-13,7.87505986376638e-11,20.8384559787692,"ENSG00000137809.17"
